ZoneCategory,Address,BuildingSqFt,PropertyType,OwnerName,OwnerState
CRA Only,25850 SW 140 CT,382355,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,MUVHOME26 LLC,FL
CRA Only,27200 S DIXIE HWY,134799,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,EXTRA SPACE PROPERTIES EIGHTY,UT
CRA Only,27077 S FEDERAL HWY,253088,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,RICHMAN SOUTH MIAMI DEVELOPMENT,FL
CRA Only,15000 SW 272 ST,269238,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,AMBAR TRAIL LTD,FL
CRA Only,15100 SW 272 ST,148228,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,AMBAR TRAIL LTD,FL
CRA Only,27550 S DIXIE HWY,168067,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,NARANJA LAKES HOUSING PARTNERS LP,GA
CRA Only,13700 SW 268 ST,226882,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,MALIBU GARDENS OWNER LLC,CA
CRA Only,13701 SW 270 ST,190384,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,HIDDEN GROVE HOUSING L P,FL
CRA Only,26600 SW 146 CT,173351,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,SUNRISE COMMONS PRESERVATION LTD,CA
CRA Only,14301 SW 268 ST,199350,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,THE LANDINGS AT CORAL TOWN,FL
