Address,City,Property Type,Building Sq Ft,Estimated Units,Owner Name,Owner State,Tax Status,Zones,Distress Score,Google Maps Link
5900 NW 72 AVE,Miami,CANNERY OR DISTILLERY,197408,394,THE AMERICAN BOTTLING COMPANY,TX,"Delinquent ($8,000)",OZ: 91,4/6,"https://www.google.com/maps/search/?api=1&query=25.827264,-80.315373"
18665 NW 37 AVE,Miami Gardens,MULTIFAMILY 10 UNITS PLUS,194562,389,MIAMI GARDENS APARTMENTS LLC,NY,"Delinquent ($18,500)",OZ: 100.11,4/6,"https://www.google.com/maps/search/?api=1&query=25.943571,-80.260688"
3200 NW 79 ST,Miami,STORE,193510,387,WALMART STORES EAST LP,AR,"Delinquent ($18,500)",CRA: NW 79th Street + OZ: 9.03,4/6,"https://www.google.com/maps/search/?api=1&query=25.844443,-80.25043"
20805 BISCAYNE BLVD,Miami Gardens,HOTEL OR MOTEL,191674,383,PDOF AVENTURA 20805 LLC,GA,"Delinquent ($13,250)",OZ: 1.34,4/6,"https://www.google.com/maps/search/?api=1&query=25.967594,-80.14219"
3450 BISCAYNE BLVD,Miami,HOTEL OR MOTEL,189673,379,ODYSSEY PROPCO VII LLC,CA,"Delinquent ($18,500)",OZ: 27.02,4/6,"https://www.google.com/maps/search/?api=1&query=25.809216,-80.189948"
9761 SW 152 ST,Cutler Bay,MULTIFAMILY 10 UNITS PLUS,187775,375,VILLAGE AT CORAL REEF LLC,MA,"Delinquent ($18,500)",OZ: 83.04,4/6,"https://www.google.com/maps/search/?api=1&query=25.629473,-80.351308"
6905 NW 25 ST,Miami,WAREHOUSE TERMINAL OR STG,183857,367,AMB INSTITU ALLI FUND III LLC,MA,"Delinquent ($18,500)",OZ: 91,4/6,"https://www.google.com/maps/search/?api=1&query=25.798541,-80.309672"
6100 NW 74 AVE,Miami,LIGHT MANUFACTURING,181986,363,BPREP PALMETTO AIRPORT LLC,NY,"Delinquent ($8,000)",OZ: 91,4/6,"https://www.google.com/maps/search/?api=1&query=25.829454,-80.319657"
7200 NW 25 ST,Miami,LIGHT MANUFACTURING,178521,357,MP WEBSTER PARK LLC,MA,"Delinquent ($8,000)",OZ: 91,4/6,"https://www.google.com/maps/search/?api=1&query=25.796372,-80.313485"
1850 NE 8 ST,Miami-Dade County,STORE,177485,354,LOWES HOME CENTERS INC,NC,"Delinquent ($18,500)",OZ: 110.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.475424,-80.45082"
26600 SW 146 CT,Homestead,MULTIFAMILY 10 UNITS PLUS,173351,346,SUNRISE COMMONS PRESERVATION LTD,CA,"Delinquent ($18,500)",CRA: Naranja Expansion,4/6,"https://www.google.com/maps/search/?api=1&query=25.519751,-80.428738"
670 NW 6 ST,Miami,MULTIFAMILY 10 UNITS PLUS,171447,342,TUSCAN PLACE II LTD PARTNERSHIP,MA,"Delinquent ($8,000)",CRA: SE  Overtown/Park West + OZ: 36.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.778978,-80.206238"
161 NW 6 ST,Miami,OFFICE BUILDING - MULTISTORY,170681,341,B9 3MC OWNER LLC,NY,"Delinquent ($8,000)",CRA: SE  Overtown/Park West + OZ: 34,4/6,"https://www.google.com/maps/search/?api=1&query=25.780159,-80.197189"
161 NW 6 ST,Miami,OFFICE BUILDING - MULTISTORY,170681,341,B9 3MC OWNER LLC,NY,"Delinquent ($8,000)",CRA: SE  Overtown/Park West + OZ: 34,4/6,"https://www.google.com/maps/search/?api=1&query=25.780115,-80.197421"
27550 S DIXIE HWY,Homestead,MULTIFAMILY 10 UNITS PLUS,168067,336,NARANJA LAKES HOUSING PARTNERS LP,GA,"Delinquent ($18,500)",CRA: Naranja,4/6,"https://www.google.com/maps/search/?api=1&query=25.510958,-80.435761"
16241 NW 48 AVE,Miami Gardens,LIGHT MANUFACTURING,164254,328,E J FLORIDA PROPERTY LLC,GA,"Delinquent ($8,000)",OZ: 5.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.920851,-80.277721"
5959 NW 7 ST,Miami,HOSPITAL - PRIVATE,163692,327,MPT CORAL TERRACE STEWARD LLC,AL,"Delinquent ($18,500)",OZ: 57.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.778161,-80.293902"
2950 AVENTURA BLVD,Miami Gardens,REGIONAL SHOPPING CENTER,158758,317,REGENCY CENTERS L P,TX,"Delinquent ($18,500)",OZ: 1.34,4/6,"https://www.google.com/maps/search/?api=1&query=25.960662,-80.141428"
3380 NW 17 AVE,Miami,MULTIFAMILY 10 UNITS PLUS,158664,317,PEARL APARTMENTS LTD,MA,"Delinquent ($18,500)",OZ: 24.04,4/6,"https://www.google.com/maps/search/?api=1&query=25.80744,-80.224117"
2334 BISCAYNE BLVD,Miami,WAREHOUSE TERMINAL OR STG,157853,315,BMS OMNI LLC,CA,"Delinquent ($18,500)",OZ: 27.02,4/6,"https://www.google.com/maps/search/?api=1&query=25.800042,-80.189593"
14777 BISCAYNE BLVD,Hialeah,COMMUNITY SHOPPING CENTER,157573,315,BISCAYNE COMMONS (EDENS) LLC,SC,"Delinquent ($18,500)",OZ: 1.09,4/6,"https://www.google.com/maps/search/?api=1&query=25.911794,-80.155998"
